Milliseconds ago,r_asn
-176151349,17392
-175778936,19024
-175406523,20021
-175034110,22373
-174661697,22958
-174289284,25737
-173916871,26914
-173544458,29960
-173172045,30678
-172799632,31883
-172427219,33070
-172054806,33694
-171682393,209
-171309980,701
-170937567,1239
-170565154,2152
-170192741,2514
-169820328,2856
-169447915,3356
-169075502,3462
-168703089,3495
-168330676,3561
-167958263,3671
-167585850,4765
-167213437,4766
-166841024,6342
-166468611,6354
-166096198,6400
-165723785,6432
-165351372,6724
-164978959,6939
-164606546,6993
-164234133,7132
-163861720,7393
-163489307,7552
-163116894,8002
-162744481,8151
-162372068,8400
-161999655,8560
-161627242,9121
-161254829,9394
-160882416,11062
-160510003,11398
-160137590,11819
-159765177,13462
-159392764,13867
-159020351,17228
-158647938,17608
-158275525,17858
-157903112,18229
-157530699,19262
-157158286,20115
-156785873,22291
-156413460,23404
-156041047,23771
-155668634,26085
-155296221,26101
-154923808,26831
-154551395,27364
-154178982,30099
-153806569,33287
-153434156,33657
-153061743,721
-152689330,2200
-152316917,3265
-151944504,3549
-151572091,3561
-151199678,4134
-150827265,4766
-150454852,4788
-150082439,4837
-149710026,5078
-149337613,5400
-148965200,5617
-148592787,5663
-148220374,6128
-147847961,7132
-147475548,8342
-147103135,8376
-146730722,8400
-146358309,9318
-145985896,9416
-145613483,11062
-145241070,11351
-144868657,11486
-144496244,12297
-144123831,14777
-143751418,14778
-143379005,15169
-143006592,15802
-142634179,17465
-142261766,17506
-141889353,18182
-141516940,18229
-141144527,20773
-140772114,22011
-140399701,25956
-140027288,34104
-139654875,35315
-139282462,36727
-138910049,39386
-138537636,209
-138165223,1312
-137792810,2552
-137420397,3561
-137047984,4323
-136675571,4766
-136303158,5617
-135930745,6106
-135558332,6342
-135185919,6364
-134813506,6478
-134441093,7018
-134068680,7065
-133696267,7132
-133323854,7377
-132951441,9506
-132579028,11414
-132206615,18182
-131834202,19918
-131461789,25767
-131089376,29863
-130716963,4134
-130344550,4766
-129972137,5400
-129599724,6342
-129227311,11062
-128854898,12297
-128482485,17429
-128110072,18229
-127737659,20773
-127365246,25956
-126992833,34104
-126620420,4766
-126248007,7132
-125875594,8400
-125503181,11062
-125130768,14778
-124758355,18229
-124385942,20773
-124013529,22855
-123641116,31976
-123268703,33651
-122896290,35315
-122523877,2152
-122151464,3561
-121779051,4134
